#OTU ID	SZMB7	SZ.SC5	SZMB12	SZ.SC2	SZ.SC7	SZMB10	SZMB6	SZ.SC4	SZMB5	SZ.SC6	SZ.SC1	SZMB9
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides rodentium	1	0	4	0	1	5	3	0	2	0	0	6
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides rodentium;t__Bacteroides rodentium JCM 16496	1	0	0	0	0	2	0	0	0	0	0	1
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	69	0	98	0	0	212	65	0	8	0	0	395
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides vulgatus	39	0	10	0	0	11	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	972	0	126	0	0	1378	330	0	295	0	0	1372
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens;t__Bacteroides xylanisolvens XB1A	1	2	5	19	49	44	7	0	1	2	0	5
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	0	0	0	3	3	2	2	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanolyticus	170	0	49	2	0	65	150	0	149	0	0	8
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0	215	0	8173	1111	0	0	485	0	5	280	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter;s__Odoribacter splanchnicus	3	0	4	0	0	9	2	0	0	0	0	8
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter	0	0	1	0	0	0	0	0	0	0	0	0
