#OTU ID	SZ.SC4	SZ.SC7	SZ.SC5	SZ.SC2	SZ.SC1	SZ.SC6	SZMB12	SZMB7	SZMB6	SZMB5	SZMB9	SZMB10
629486	0	0	0	0	0	0	0	0	0	0	0	1
632932	0	0	0	0	0	0	0	1	0	0	1	0
636845	0	0	1	0	0	0	0	0	0	0	0	0
641783	0	3	0	6	0	0	1	0	6	2	10	0
640999	0	0	0	0	0	0	0	1	0	0	0	0
668257	0	0	0	0	0	0	0	0	5	0	0	11
667570	125	34	218	399	0	122	0	0	0	0	0	0
652823	25	4	12	16	0	0	31	8	16	21	4	17
651513	0	38	6	132	0	0	0	0	0	0	0	0
649732	0	0	0	0	0	0	1	1	0	1	0	1
649107	0	0	0	0	0	0	0	0	0	0	2	1
646800	0	1	0	0	0	0	0	0	0	0	0	0
646411	3	0	0	2	2	0	0	0	1	0	0	0
644244	0	1	0	1	0	0	0	0	2	1	0	0
646321	0	0	0	0	0	0	0	25	1	0	0	0
646353	0	0	0	0	1	0	0	0	0	0	0	0
647215	0	0	0	0	0	0	0	1	0	0	0	0
652332	0	2	1	7	4	0	0	0	0	0	0	0
667010	0	0	0	0	0	1	1	0	2	1	0	2
656774	0	0	31	0	0	2	0	0	0	0	0	0
655793	0	0	0	0	0	0	1	0	0	0	0	1
653954	0	0	0	0	0	0	1	3	0	0	0	0
654788	0	0	0	0	0	2	0	0	0	0	0	0
655876	0	0	0	0	0	0	0	0	2	0	0	1
656229	0	0	0	0	0	1	0	0	0	0	0	0
662422	0	0	0	0	0	0	0	0	9	4	0	0
661270	0	11	0	0	0	0	1	0	0	0	0	0
660502	0	0	0	0	0	3	0	0	0	0	0	0
657491	0	0	0	0	1	0	0	0	1	0	0	0
66188	0	0	0	0	0	0	0	1	0	0	1	0
661669	0	0	0	0	3	0	0	0	0	0	0	0
663228	0	0	0	0	0	0	0	0	1	5	0	0
663226	0	0	0	0	0	0	0	0	5	0	0	0
662917	0	0	0	0	0	0	1	0	0	0	0	3
668129	0	4	0	2	0	0	0	0	0	0	0	2
67813	1	0	1	3	0	57	0	0	0	0	0	0
673084	0	0	0	0	0	0	0	0	3	6	0	0
669005	3	1	2	0	1	0	0	0	0	0	0	0
681987	0	0	0	0	0	0	0	1	0	0	0	0
801579	0	27	7	87	0	817	0	0	0	0	0	0
686211	0	11	6	22	1	0	21	15	586	628	186	5
685156	7	31	0	92	99	3	0	0	4	0	2	0
684858	4	0	0	0	0	0	1	0	0	0	0	0
699257	0	0	8	0	0	0	0	0	0	0	0	0
68844	0	1	0	57	1	0	0	1	483	575	0	0
687686	2	0	0	0	0	5	0	0	0	0	0	0
686789	0	0	0	1	0	3	0	0	0	0	0	0
686281	0	0	0	0	0	0	0	0	1	0	0	0
686984	3	0	0	0	0	0	0	0	0	0	0	0
688133	0	0	13	0	0	11	0	0	0	0	0	0
687940	4	4	0	0	0	0	0	0	0	0	0	0
693613	0	0	5	11	0	0	30	133	20	29	98	25
688934	1	2	5	4	0	2	0	0	0	0	0	0
688528	0	0	0	1	0	0	0	0	0	0	0	0
688800	0	0	0	0	0	0	3	0	1	0	0	2
689528	0	0	0	0	1	0	0	0	0	0	0	0
692823	0	0	0	1	4	0	0	0	0	0	0	0
696234	0	0	1	0	0	0	0	0	0	0	0	0
694713	0	0	0	0	1	0	0	0	0	0	0	0
697578	0	1	0	0	0	3	0	0	0	0	0	0
69782	0	0	0	0	0	1	0	0	0	0	0	0
783291	0	0	0	0	0	0	995	6	1735	68	414	125
74136	0	0	0	0	0	0	108	98	0	4	111	24
722817	0	0	34	1	0	34	0	0	0	0	0	0
70728	38	32	12	68	1	30	0	0	0	0	0	0
701221	0	0	0	0	0	0	21	171	20	2	40	38
706432	0	1	32	0	0	15	0	0	0	0	0	0
705063	0	0	5	0	0	0	0	0	0	0	0	0
703440	0	0	3	3	0	0	0	0	0	0	0	0
702414	0	0	0	0	0	0	0	0	0	0	1	0
703731	0	0	0	0	0	0	0	2	2	0	0	0
703741	0	0	0	0	2	0	0	0	0	0	0	0
704264	0	0	0	0	0	0	7	1	0	0	2	0
70580	14	26	11	65	5	13	0	0	0	0	0	0
706656	0	0	2	0	0	0	0	0	0	0	0	0
70706	1	0	0	0	2	1	0	1	0	0	2	0
706820	0	0	0	0	0	0	0	0	0	0	1	0
712142	0	0	0	0	0	0	0	1	1	0	0	0
708680	0	0	0	0	0	0	2	1	0	0	0	0
713689	0	0	0	0	0	0	1	0	0	0	0	0
712677	0	0	0	0	0	0	0	1	0	0	0	0
716006	60	92	219	1023	0	81	0	0	0	0	0	1
715152	0	0	0	0	0	0	3	8	3	0	1	0
71751	0	0	0	0	0	3	0	0	0	0	0	0
716443	0	3	2	1	0	0	0	0	0	0	0	0
71710	0	0	0	0	1	0	0	0	0	0	0	0
716984	0	1	0	0	7	0	0	0	0	0	2	2
719058	0	0	0	0	0	0	0	0	1	0	0	0
71872	0	0	0	0	0	0	0	0	0	0	0	2
720944	0	0	0	0	0	0	0	1	0	0	0	1
720353	0	0	0	0	0	0	0	0	1	0	0	0
719098	0	0	0	0	0	0	0	0	0	0	0	1
720949	0	1	15	0	0	2	0	0	0	0	0	0
721569	0	0	0	0	0	0	0	0	0	0	1	0
725212	0	0	0	0	0	0	1	9	20	12	112	16
724472	1	0	0	0	0	0	0	3	0	0	0	0
739387	0	0	0	0	0	0	9	16	1	6	5	23
729700	0	0	1	0	0	4	0	0	0	0	0	0
727218	0	0	2	1	0	9	0	0	0	0	0	0
728069	0	0	0	1	0	0	0	1	0	0	1	0
73559	1	0	1	0	0	1	0	0	0	0	0	0
732053	0	0	0	0	1	0	0	0	0	0	0	0
731422	0	0	0	0	0	0	0	0	0	1	0	0
730906	0	0	0	0	1	0	2	0	0	0	0	0
